Id,Empty,Interval,code0,code1,code2
48,true,"[6, 8]",0,0,0
37,true,"[6, 8]",0,0,2
43,true,"[6, 8]",2,0,1
77,true,"[6, 8]",0,2,0
72,false,"[6, 8]",0,0,0
86,true,"[6, 8]",0,0,0
31,true,"[6, 8]",2,2,1
98,false,"[6, 8]",0,2,0
22,false,"[6, 8]",0,2,0
23,true,"[6, 8]",1,1,2
32,false,"[6, 8]",2,0,2
14,false,"[6, 8]",0,2,1
83,true,"[6, 8]",0,1,2
3,false,"[6, 8]",2,2,0
58,true,"[6, 8]",2,0,0
76,true,"[6, 8]",1,0,0
0,true,"[6, 8]",0,0,2
2,true,"[6, 8]",2,1,1
28,true,"[6, 8]",1,1,2
7,true,"[6, 8]",0,1,0
9,true,"[6, 8]",0,0,0
96,true,"[6, 8]",1,1,2
40,true,"[6, 8]",0,2,0
68,true,"[6, 8]",1,1,1
44,true,"[6, 8]",0,0,2
6,true,"[6, 8]",1,1,2
13,false,"[6, 8]",1,0,2
41,true,"[6, 8]",0,0,0
53,true,"[6, 8]",0,0,0
62,true,"[6, 8]",0,0,0
17,false,"[6, 8]",1,2,0
87,true,"[6, 8]",1,2,0
63,true,"[6, 8]",1,2,2
88,true,"[6, 8]",0,0,0
42,false,"[6, 8]",2,2,2
81,true,"[6, 8]",0,0,0
45,false,"[6, 8]",0,0,0
71,true,"[6, 8]",0,2,1
47,true,"[6, 8]",0,0,0
24,true,"[6, 8]",1,0,2
50,true,"[6, 8]",0,0,0
33,true,"[6, 8]",0,1,0
34,true,"[6, 8]",1,2,0
59,true,"[6, 8]",2,0,0
94,false,"[6, 8]",0,0,2
55,true,"[6, 8]",1,2,0
30,true,"[6, 8]",1,0,0
52,false,"[6, 8]",0,0,0
92,false,"[6, 8]",1,2,0
36,false,"[6, 8]",2,2,2
38,false,"[6, 8]",2,2,2
93,true,"[6, 8]",2,2,2
10,true,"[6, 8]",0,0,0
99,true,"[6, 8]",0,2,0
26,true,"[6, 8]",0,0,2
8,false,"[6, 8]",2,2,2
49,true,"[6, 8]",0,1,2
91,true,"[6, 8]",1,0,2
16,false,"[6, 8]",0,2,0
4,true,"[6, 8]",0,0,0
20,true,"[6, 8]",0,1,0
54,true,"[6, 8]",0,2,2
15,true,"[6, 8]",1,2,2
70,true,"[6, 8]",0,1,0
82,true,"[6, 8]",2,1,2
21,true,"[6, 8]",0,0,0
89,false,"[6, 8]",0,2,2
79,true,"[6, 8]",1,0,2
69,true,"[6, 8]",1,1,1
64,true,"[6, 8]",0,0,2
90,false,"[6, 8]",0,0,0
67,true,"[6, 8]",2,2,0
75,false,"[6, 8]",2,2,2
46,true,"[6, 8]",2,1,0
78,true,"[6, 8]",0,0,0
80,true,"[6, 8]",0,0,2
1,false,"[6, 8]",2,0,2
56,true,"[6, 8]",0,2,0
65,false,"[6, 8]",2,2,2
29,true,"[6, 8]",1,1,0
61,true,"[6, 8]",0,1,0
27,true,"[6, 8]",0,0,2
66,true,"[6, 8]",2,1,0
60,false,"[6, 8]",0,0,2
25,true,"[6, 8]",0,1,0
18,true,"[6, 8]",0,0,1
5,true,"[6, 8]",0,0,0
19,true,"[6, 8]",0,0,0
95,false,"[6, 8]",0,0,2
11,true,"[6, 8]",0,0,0
97,true,"[6, 8]",1,2,1
39,true,"[6, 8]",2,0,0
73,true,"[6, 8]",0,2,0
35,true,"[6, 8]",0,1,0
12,true,"[6, 8]",0,0,0
85,false,"[6, 8]",0,2,2
57,true,"[6, 8]",1,2,0
74,true,"[6, 8]",0,0,0
51,true,"[6, 8]",1,2,1
84,true,"[6, 8]",0,0,2
